真实宽度_True,预测宽度_DBN
1054.75,1053.6003640384554
1138.37,1132.4037104376475
1312.6,1318.2955495487213
1285.01,1278.4070542978968
1272.73,1271.0864144345992
1678.82,1677.1885729374317
1193.82,1197.2563037880786
974.33,994.4208253318932
1287.79,1281.8785096933382
1534.9,1539.0122119996327
1049.72,1049.6057585167596
1303.55,1301.1939354589467
1300.92,1291.736008455093
1353.47,1352.9128168413765
1108.35,1104.0551288774504
1412.19,1397.0064002148397
990.24,992.6551012213183
1243.4,1241.5023719094877
1033.84,1067.6158923009662
1193.52,1180.284717937135
1054.89,1051.5987488919136
1179.58,1190.0006146388237
1103.94,1107.1584486698587
1230.92,1236.409726608335
1539.72,1532.646733564956
1284.0,1284.3477687153736
1169.5,1156.0272955142073
1273.62,1291.5277607623473
1340.26,1336.8142349644277
1321.06,1311.3289151003407
1159.08,1165.0184516857485
1362.45,1364.3891337799782
1188.06,1187.3457105869118
1075.82,1065.9149143698257
1286.46,1290.1701524218522
975.94,972.7384308795406
1539.29,1535.794063025783
1284.18,1292.6083115656597
1289.0,1282.3373885030812
1184.94,1176.9114619128607
1159.86,1171.0745099839824
1261.94,1247.1887789115472
1286.11,1281.0085634199165
1529.89,1547.4570606414186
1420.19,1433.2787067547663
1582.32,1537.1309864437853
1432.34,1432.260669664514
1499.13,1484.972310182637
1376.55,1379.3091658810029
1127.77,1136.9658291335065
1404.42,1398.619529010777
1554.94,1561.4089714890865
1675.13,1679.906239905451
986.11,983.1263860175332
1310.71,1303.8821797902906
1054.78,1060.1670408021519
1686.32,1672.0679208382985
971.93,972.8594146479329
1548.66,1536.6410617248941
1270.12,1262.8605408642754
1288.68,1296.543252796381
1546.86,1534.5246520499177
1487.0,1486.5214681277757
1412.82,1408.673940654363
1540.18,1541.1894628269222
1520.16,1500.7058812500163
1255.36,1251.636134962569
1483.08,1485.1897470067645
1263.18,1267.5837458763178
1082.85,1085.9679154073515
1270.98,1283.2870696718146
1312.66,1307.1356471970037
1289.35,1290.3963180778208
1326.85,1325.630722684477
1234.22,1231.5400864114486
1275.04,1276.6551710481203
1353.01,1355.433557419046
1544.62,1549.0688124943572
1018.38,1023.8275502642703
1214.57,1213.7001280269503
1209.38,1212.451920312308
1155.17,1170.8130127863994
1291.5,1288.4711876128217
1545.85,1551.0525631058817
1295.18,1290.1310658023253
1791.6,1795.3689289088284
990.91,979.5434975873582
1191.56,1194.3492815468085
1196.69,1193.3088029505845
1303.06,1304.530809440461
1257.3,1250.5591409943959
1136.13,1099.7337175664925
1305.79,1301.3713294187442
1549.89,1535.8461996456826
1109.11,1108.989927886064
1276.24,1274.9145452336618
1323.48,1318.1048528862598
990.44,996.3006057793639
1836.32,1848.1585149055404
