真实宽度_True,预测宽度_LightGBM
1554.94,1550.0433617588233
1675.13,1682.123152834758
986.11,986.1277989193882
1310.71,1310.23162099143
1054.78,1058.1146786285046
1686.32,1697.6822801332205
971.93,970.5286314047958
1548.66,1547.8384906671781
1270.12,1267.3025999485335
1288.68,1288.4298115463846
1546.86,1659.0139368027358
1487.0,1499.3550967025842
1412.82,1415.6258127069561
1540.18,1537.7156857274415
1520.16,1515.1681438021035
1255.36,1252.712659263218
1483.08,1468.923200447354
1263.18,1269.5887165792958
1082.85,1086.9327634393221
1270.98,1279.62303431697
1312.66,1306.870025876534
1289.35,1288.0332153536388
1326.85,1325.323192899098
1234.22,1235.5232339132103
1275.04,1272.5047942702363
1353.01,1348.558265544964
1544.62,1547.9363711883993
1018.38,1016.641636002013
1214.57,1212.2520628748348
1209.38,1181.6405120580105
1155.17,1166.651098520782
1291.5,1292.5136489092802
1545.85,1543.5984738431914
1295.18,1293.4226626604832
1791.6,1804.6397185009378
990.91,989.726427661364
1191.56,1186.9489041500333
1196.69,1200.8191849336472
1303.06,1300.8732527489346
1257.3,1251.68290837483
1136.13,1121.1207079524422
1305.79,1323.2477018331135
1549.89,1545.746118741091
1109.11,1108.3145674014338
1276.24,1279.8293443716236
1323.48,1323.1130513155147
990.44,1001.9105273792755
1836.32,1892.811865201191
1499.67,1500.2851355221917
1298.36,1301.199979725693
1075.78,1138.6174058505396
1471.15,1467.623426819956
1269.13,1265.228005212679
1281.99,1283.693883219437
1576.5,1568.8124076211147
