y_test,y_pred,true_width,pred_width,abs_error
1157.33,1160.5076332815418,1157.33,1160.5076332815418,3.17763328154183
1256.6,1253.9807046916535,1256.6,1253.9807046916535,2.619295308346409
1432.82,1432.2332542658046,1432.82,1432.2332542658046,0.5867457341953468
946.45,947.1588143047277,946.45,947.1588143047277,0.708814304727639
1018.05,1019.0067992632039,1018.05,1019.0067992632039,0.9567992632039477
1277.95,1274.1107952098002,1277.95,1274.1107952098002,3.839204790199801
1429.36,1438.0506455308423,1429.36,1438.0506455308423,8.690645530842403
1500.48,1503.7418943487476,1500.48,1503.7418943487476,3.2618943487475462
1410.58,1409.7772122586578,1410.58,1409.7772122586578,0.802787741342172
1535.16,1535.6719884766558,1535.16,1535.6719884766558,0.5119884766556879
1048.78,1050.0949901223676,1048.78,1050.0949901223676,1.3149901223675897
1311.83,1317.3943546821474,1311.83,1317.3943546821474,5.564354682147496
1282.55,1286.26580513674,1282.55,1286.26580513674,3.715805136740073
1017.29,1021.7206239683214,1017.29,1021.7206239683214,4.43062396832147
1273.5,1276.959033827954,1273.5,1276.959033827954,3.4590338279540447
1349.73,1347.1270052086666,1349.73,1347.1270052086666,2.602994791333458
1103.23,1106.128127563179,1103.23,1106.128127563179,2.8981275631790595
1303.6,1296.749705700824,1303.6,1296.749705700824,6.850294299175857
1110.67,1110.3275353307579,1110.67,1110.3275353307579,0.3424646692421902
1325.61,1323.3353068643748,1325.61,1323.3353068643748,2.274693135625057
1464.95,1474.831336586054,1464.95,1474.831336586054,9.881336586053976
1065.89,1065.6818515056725,1065.89,1065.6818515056725,0.2081484943275882
1187.41,1188.1303795615752,1187.41,1188.1303795615752,0.7203795615751005
1392.41,1396.7763319086305,1392.41,1396.7763319086305,4.3663319086304
1118.83,1106.350198919848,1118.83,1106.350198919848,12.479801080151901
1294.0,1287.685096976604,1294.0,1287.685096976604,6.3149030233960275
1304.41,1304.2071257120988,1304.41,1304.2071257120988,0.20287428790129525
1371.16,1370.8042980368245,1371.16,1370.8042980368245,0.3557019631755338
1283.71,1283.2623083440863,1283.71,1283.2623083440863,0.44769165591378624
